" Fuji IGBT Simulator Ver 6.1.4"
" 7/25/2018 10:04:27 PM"
" module type",6MBI450U4-170
" Circuit",3-Phase 2-Level Inverter
" PWM mode",Sinusoidal

" Calculation condition"
" Fo(Hz)",50," Io(Arms)",Sweep," Fc(kHz)",2.5
" pf",0," Mod",0.8," Duty",
" Vdc(V)",800," T1 RG(on)",1.1," T1 RG(off)",1.1
" T2 RG(on)",," T2 RG(off)",,
" Rth(c-f)(T1)",0.0167," Rth(c-f)(D1)",0.0167,


" Calculation result"
" Total",," Total (/system)",
," T1"," D1"," T2"," D2"," D5"
" Total",,,,,
" Conduction",,,,,
" Turn on
(Recovery)",,,,,
" Turn off",,,,,

" Tvj (peak)",,,,,
" Tvj (ave)",,,,,
" Tvj-c (ave)",,,,,
" ΔTvj",,,,,

," Tc1",," Tc2",," Tc5"
" Tc (peak)",,,,,
" Tc (ave)",,,,,

" Tf (peak)",
" Tf (ave)",
" Ta",40

" Output Current[Arms]"," T1"," D1"," Tj-Max(T1)"," Tj-Ave(T1)"," Tj-Max(D1)"," Tj-Ave(D1)"," Tc1-Max"," Tc1-Ave"," Tf-Max"," Tf-Ave"
0,0,0,40,40,40,40,40,40,40,40
14.5162179452335,11.0127643977209,10.3758490025045,41.819934948431,41.6602545896137,42.2934854662643,42.0370733584439,41.0011584108269,40.9994877284761,40.641657955549,40.6416579465402
29.0324358904669,22.7338586936159,21.3599769682628,43.7558859292568,43.4245341011318,44.7307463025264,44.1964997397871,42.0640499522049,42.0605000464648,41.3228141764178,41.3228141572746
43.5486538357004,34.9588921246314,32.7123591859643,45.7712054832908,45.2598075496426,47.2588121757638,46.4335091323385,43.1678602017717,43.1622695393856,42.0301361965001,42.0301361663529
58.0648717809339,47.5370958813113,44.2542963228627,47.8387476087987,47.1416327564787,49.8383913167702,48.7148355513672,44.2971541029302,44.2894002543114,42.7537399697847,42.7537399279698
72.5810897261673,60.3620183465787,55.8577726325956,49.9393104081955,49.0526659611983,52.4414807056548,51.0167207575676,45.440952485446,45.4309356019046,43.4865914738071,43.4865914198003
87.0973076714008,73.3632312766142,67.4359697933434,52.0601699551406,50.9813333340171,55.0492139878088,53.3231347824831,46.5918885528071,46.5795275018488,44.223973310253,44.2239732436066
101.613525616634,86.4989946370373,78.9348766295021,54.1937826854089,52.9206560161502,57.6499852493496,55.6242020508734,47.745477913829,47.7307015364639,44.9630129416755,44.9630128620069
116.129743561868,99.7498278075938,90.3259349700513,56.3366083838549,54.8672203155286,60.2378146767782,57.9148218900107,48.8994721047701,48.8822128771944,45.7022692034522,45.7022691103989
130.645961507101,113.112934868559,101.599661896794,58.4881090625177,56.8202846853455,62.8109066512468,60.193472215888,50.0532979561445,50.0334877486596,46.4413737298291,46.4413736230256
145.162179452335,126.597431682054,112.760188635644,60.6498678975262,58.7810151128937,65.370454030162,62.4611851863272,51.2075780633325,51.1851451949554,47.1807239331161,47.1807238121778
159.678397397568,140.220322481495,123.820656344149,62.8248664339221,60.7518405461572,67.9196318766127,64.720683610971,52.3637295513496,52.3385939128948,47.9212241750088,47.9212240395221
174.194615342802,154.003173682359,134.799409048407,65.0168723488128,62.735919985613,70.4627667364416,66.975666908143,53.5236211556526,53.4956989168796,48.6640717690291,48.6640716185463
188.710833288035,167.969432627498,145.716923982584,67.229944273923,64.7367128687042,73.0046392540971,69.2302353985599,54.6893120771476,54.6585128000877,49.4105844530863,49.4105842871124
203.227051233269,182.14233898018,156.593419584176,69.4680624127267,66.7576443744461,75.5500080474656,71.4884417258857,55.8628394729018,55.8290663566698,50.1620659710983,50.1620657891094
217.743269178502,196.543376478083,167.44708139823,71.7348427628741,68.8018572756241,78.1031805383006,73.7539581941063,57.0460627569332,57.0092133296414,50.9197064027487,50.9197062041948
232.259487123736,211.191212761439,178.292846143666,74.0333500500689,70.8720419660426,80.6677768942469,76.0298488117145,58.24055697978,58.2005240491592,51.6845138803125,51.6845136646182
246.775705068969,226.101074988531,189.141684194914,76.3659941207588,72.9703362902869,83.2465296076263,78.3184348326895,59.4475499861269,59.4042227258732,52.4572743315454,52.4572740981159
261.291923014203,241.284508951754,200.000320732008,78.7344704448601,75.0982868034568,85.8413101742796,80.6212425842525,60.66789809982,60.621163164041,53.2385358876418,53.2385356358688
275.808140959436,256.749469407441,210.871335812347,81.1398146953423,77.2568630883308,88.4530075786314,82.9390223713895,61.9020950855978,61.8518376590949,54.0286145952461,54.0286143245133
290.324358904669,272.500689332658,221.753583617283,83.5824602916063,79.4465167574256,91.0817235008128,85.2718272481196,63.1503091368709,63.0964138443502,54.8276180715095,54.8276177811978
304.840576849903,288.540275822186,232.642871126715,86.0623661034833,81.6672767674033,93.7268716902834,87.6191404455005,64.4124426388776,64.3547942515437,55.6354837411825,55.6354834306739
319.356794795136,304.868480338875,243.532836474875,88.579146162711,83.9188726732946,96.3873649594501,89.9800402463499,65.6882094565466,65.6266933498916,56.4520282947348,56.4520279634142
333.87301274037,321.484591030591,254.415967240477,91.1322667441449,86.2008774499931,99.0618417641154,92.3533910966736,66.9772244963973,66.9117268283563,57.2770050064919,57.2770046537487
348.389230685603,338.387894826958,265.284698924413,93.7212157881079,88.5128615084796,101.748890214049,94.7380497437792,68.279100291805,68.2095078858095,58.1101655517807,58.1101651770082
362.905448630837,355.578657029093,276.132533868163,96.3456874673782,90.8545495342398,104.447289482759,97.1330751910675,69.5935453609636,69.5197452937834,58.9513229620748,58.9513225646677
