" Fuji IGBT Simulator Ver 6.1.4"
" 7/26/2018 1:14:35 PM"
" module type",6MBI450U4-170
" Circuit",3-Phase 2-Level Inverter
" PWM mode",Sinusoidal

" Calculation condition"
" Fo(Hz)",50," Io(Arms)",Sweep," Fc(kHz)",2.5
" pf",0.8," Mod",0.8," Duty",
" Vdc(V)",800," T1 RG(on)",1.1," T1 RG(off)",1.1
" T2 RG(on)",," T2 RG(off)",,
" Rth(c-f)(T1)",0.0167," Rth(c-f)(D1)",0.0167,


" Calculation result"
" Total",," Total (/system)",
," T1"," D1"," T2"," D2"," D5"
" Total",,,,,
" Conduction",,,,,
" Turn on
(Recovery)",,,,,
" Turn off",,,,,

" Tvj (peak)",,,,,
" Tvj (ave)",,,,,
" Tvj-c (ave)",,,,,
" ΔTvj",,,,,

," Tc1",," Tc2",," Tc5"
" Tc (peak)",,,,,
" Tc (ave)",,,,,

" Tf (peak)",
" Tf (ave)",
" Ta",40

" Output Current[Arms]"," T1"," D1"," Tj-Max(T1)"," Tj-Ave(T1)"," Tj-Max(D1)"," Tj-Ave(D1)"," Tc1-Max"," Tc1-Ave"," Tf-Max"," Tf-Ave"
0,0,0,40,40,40,40,40,40,40,40
14.5162179452335,12.7006357281533,9.25779528602467,41.9799952343601,41.78815547655,42.1728525547267,41.9518968353412,41.0284029730609,41.0261196318975,40.658752886365,40.658752874082
29.0324358904669,26.6064413549812,18.6121532851851,44.1149988956808,43.7094511059391,44.4210095767712,43.97427991365,42.118056695807,42.1130687102686,41.3565577528964,41.3565577260683
43.5486538357004,41.3922169461087,27.9620319368689,46.359206796653,45.7244566023974,46.7110702552484,46.0371267382595,43.2489362984068,43.2409289745332,42.0806273385952,42.0806272955331
58.0648717809339,56.8172656237563,37.232397020595,48.6787364085514,47.8039760379093,49.0183215834802,48.1181797706513,44.4062097466591,44.3949463349994,42.8214897095438,42.8214896489775
72.5810897261673,72.7106260676003,46.3698280707442,51.0496174091028,49.9272663714606,51.3252228706401,50.2016116011531,45.5793372890831,45.5646354524289,43.5724134113619,43.5724133323135
87.0973076714008,88.9579176698975,55.3385920907297,53.4559482050662,52.0804499571396,53.6200756494408,52.2768341191816,46.7612686922071,46.7429815371693,44.3288950352902,44.3288949369588
101.613525616634,105.489714616958,64.1171612467722,55.888229848382,54.2551109817088,55.895828896025,54.3374442753434,47.9477335836392,47.9257343421476,45.0882059714056,45.0882058531084
116.129743561868,122.271365169054,72.6951507214447,58.3419148323272,56.4470657822684,58.1490514115227,56.3802990276987,49.1366210538281,49.11078932402,45.848995122648,45.848994983752
130.645961507101,139.29417241085,81.0706529071537,60.8161432596985,58.6552969946305,60.3790359437006,58.4047120645002,50.3274324602679,50.2976509467736,46.6109443531267,46.6109441930034
145.162179452335,156.567852744434,89.2479441197184,63.3126617655373,60.8810414830176,62.5870332894254,60.4117648957129,51.5208266189924,51.486973102074,47.3744734443152,47.3744732623099
159.678397397568,174.114188397045,97.2355400122171,65.8349134613401,63.1270220017105,64.7756026548064,62.4037249056276,52.7182279259004,52.6801716206555,48.1404913326958,48.1404911281077
174.194615342802,191.961790215578,105.044575869262,68.3872872064323,65.3968125392578,66.9480797481379,64.383562958874,53.9215041718235,53.879103849047,48.9101904024204,48.9101901744927
188.710833288035,210.141887019944,112.687487961872,70.9745135098971,67.6943272958698,69.1081503987055,66.3545631521427,55.1327067529606,55.0858102659302,49.6848806065539,49.6848803544708
203.227051233269,228.685057787386,120.1769721431,73.6011968184898,70.023423244613,71.2595202231782,68.3200173039273,56.3538682216068,56.3023131124246,50.4658601904686,50.4658599133594
217.743269178502,247.618822939825,127.525195864596,76.2714792830092,72.3876062270251,73.4056492000904,70.2829967745929,57.5868521221014,57.5304670105939,51.2543197909566,51.2543194879022
232.259487123736,266.966011006322,134.743239794246,78.9887913046479,74.7898305337664,75.5495897666611,72.2461942090814,58.8332500569194,58.7718565444704,52.0512766846253,52.0512763546691
246.775705068969,286.74381693275,141.840745215084,81.7557183727492,77.2323819209287,77.6938720614845,74.2118277945632,60.0943209278325,60.0277357778892,52.8575359591465,52.8575356013059
261.291923014203,306.963468310751,148.825743385607,84.5739728421534,79.7168340126192,79.8404590388627,76.1816006253411,61.3709672970646,61.2990046834325,53.6736753809228,53.6736749942011
275.808140959436,327.63041579807,155.704643041688,87.4444195737245,82.244068040438,81.9907747680592,78.1567077673198,62.6637438133674,62.5862174567732,54.5000507327409,54.5000503161391
290.324358904669,348.744964002349,162.482352220237,90.3671718328385,84.8143458704653,84.1457017344164,80.1378836143473,63.9728926479411,63.8896176907167,55.3368183949779,55.3368179475046
304.840576849903,370.303259100472,169.16251058477,93.3417406837892,87.4274262683794,86.3057155289676,82.1254821287377,65.2984008851242,65.2091953832359,56.1839719439272,56.1839714646066
319.356794795136,392.298549465531,175.747808433074,96.3672231614588,90.0827143533267,88.470983685161,84.1195825582816,66.6400748127807,66.5447607537913,57.0413895408123,57.0413890286897
333.87301274037,414.722635573522,182.240368567103,99.442521051823,92.7794341911525,90.6414925062705,86.1201132220616,67.9976260573066,67.8960298422355,57.9088888850548,57.9088883391992
348.389230685603,437.567425461835,188.64216720529,102.566604732498,95.5168144776218,92.8171921096785,88.1269859573704,69.3707645081831,69.2627168645938,58.7862865053641,58.7862859248677
362.905448630837,460.826512011635,194.955470117443,105.738640869529,98.2942772622411,94.9981453497065,90.1402338200504,70.7592929770006,70.6446283000176,59.6734581622151,59.67345754619
